City,State,Lat,Lng,ID
Tuxtepec,Oaxaca,18.1,-96.1167,1484448356
San Andres Tuxtla,Veracruz,18.4483,-95.2122,1484871648
Papantla de Olarte,Veracruz,20.4478,-97.32,1484844355
Tulancingo,Hidalgo,20.0833,-98.3667,1484419416
Ciudad Acuna,Coahuila,29.3242,-100.9317,1484828397
Macuspana,Tabasco,17.7667,-92.6,1484086926
Guaymas,Sonora,27.9183,-110.8933,1484822562
Ixtlahuaca,México,19.5689,-99.7669,1484837068
Delicias,Chihuahua,28.1931,-105.4717,1484405772
Valle de Santiago,Guanajuato,20.3928,-101.1914,1484060538
Penjamo,Guanajuato,20.4311,-101.7222,1484131107
Villa de Alvarez,Colima,19.25,-103.7333,1484653806
Pesqueria,Nuevo León,25.785,-100.0511,1484002865
Colima,Colima,19.2433,-103.7247,1484585697
Boca del Rio,Veracruz,19.1056,-96.1078,1484658980
Tepatitlan de Morelos,Jalisco,20.8139,-102.7639,1484777621
Las Maravillas,Chiapas,16.3667,-91.7333,1484792236
Iguala de la Independencia,Guerrero,18.345,-99.5383,1484280781
Kanasin,Yucatán,20.9344,-89.5578,1484390572
Cunduacan,Tabasco,18.0667,-93.1667,1484076708
San Jose del Cabo,Baja California Sur,23.0614,-109.7081,1484157742
Zinacantepec,México,19.2833,-99.7333,1484976252
Huejutla de Reyes,Hidalgo,21.1333,-98.4167,1484746079
Cholula de Rivadabia,Puebla,19.0633,-98.3064,1484237822
Apatzingan de la Constitucion,Michoacán,19.0886,-102.3508,1484693242
Orizaba,Veracruz,18.85,-97.1,1484766767
Zacatecas,Zacatecas,22.7736,-102.5736,1484118312
San Pedro Garza Garcia,Nuevo León,25.6667,-100.3,1484228590
Ciudad Hidalgo,Michoacán,19.6917,-100.5536,1484580926
Navojoa,Sonora,27.0813,-109.4461,1484166303
Chilapa de Alvarez,Guerrero,17.5944,-99.1778,1484562441
Tizayuca,Hidalgo,19.8333,-98.9833,1484244950
Miramar,Tamaulipas,22.3375,-97.8694,1484353090
Matamoros,Coahuila,25.533,-103.25,1484930279
Heroica Guaymas,Sonora,27.9183,-110.8989,1484689704
Tecoman,Colima,18.9089,-103.8747,1484348795
Temixco,Morelos,18.85,-99.2333,1484273506
El Pueblito,Querétaro,20.5397,-100.4414,1484084843
Ciudad Guzman,Jalisco,19.7,-103.4667,1484316056
Tlapacoyan,Veracruz,19.9617,-97.2108,1484434864
Las Delicias,Chihuahua,28.2,-105.5,1484513329
Comitan,Chiapas,16.25,-92.1333,1484955658
Chilon,Chiapas,17.1167,-92.2833,1484862349
San Antonio Enchisi,México,19.7072,-99.7867,1484770456
Martinez de la Torre,Veracruz,20.0667,-97.05,1484150240
Temoaya,México,19.4686,-99.5933,1484890875
Lerma,México,19.2847,-99.5119,1484402392
Texcoco,México,19.52,-98.88,1484653265
Parral,Chihuahua,26.9333,-105.6667,1484607603
Tenancingo,México,18.9608,-99.5906,1484006247
Tula de Allende,Hidalgo,20.05,-99.35,1484845374
Matehuala,San Luis Potosí,23.6528,-100.6444,1484682498
Ciudad Rio Bravo,Tamaulipas,25.9861,-98.0889,1484549731
San Luis de la Paz,Guanajuato,21.2986,-100.5164,1484137795
Playas de Rosarito,Baja California,32.3422,-117.0561,1484522993
San Felipe del Progreso,México,19.7125,-99.9511,1484781559
Ixmiquilpan,Hidalgo,20.4819,-99.2181,1484683374
Tamazunchale,San Luis Potosí,21.2667,-98.7833,1484802864
Paraiso,Tabasco,18.3961,-93.2128,1484393519
Rincon de Romos,Aguascalientes,22.2333,-102.3167,1484371427
Ocotlan,Jalisco,20.3467,-102.7744,1484159296
San Jose del Rincon Centro,México,19.6606,-100.1525,1484390046
Santa Cruz Xoxocotlan,Oaxaca,17.0264,-96.7333,1484706021
Teziutlan,Puebla,19.8178,-97.3667,1484709570
Coatepec,Veracruz,19.4522,-96.9614,1484934939
Tultepec,México,19.685,-99.1281,1484818856
Agua Prieta,Sonora,31.3258,-109.5489,1484381848
Ciudad de Atlixco,Puebla,18.9,-98.45,1484268457
San Francisco,Sonora,30.7841,-112.518,1484657489
Jilotepec,México,19.9519,-99.5328,1484789785
Salinas Victoria,Nuevo León,25.9667,-100.3,1484014927
Santa Rosa Jauregui,Querétaro,20.7418,-100.4473,1484681374
Guasave,Sinaloa,25.5655,-108.4718,1484450749
Apaseo el Grande,Guanajuato,20.5531,-100.6347,1484338735
Ciudad Mante,Tamaulipas,22.7333,-98.95,1484536173
Tuxpam de Rodriguez Cano,Veracruz,20.95,-97.4,1484316468
Acayucan,Veracruz,17.9422,-94.9103,1484349924
La Piedad,Michoacán,20.3333,-102.0167,1484779296
La Trinidad,Chiapas,15.9833,-91.8667,1484023235
Apizaco,Tlaxcala,19.4167,-98.1333,1484021647
Xicotepec de Juarez,Puebla,20.3,-97.9667,1484427246
Salina Cruz,Oaxaca,16.1833,-95.2,1484364230
Tecate,Baja California,32.5722,-116.6403,1484547809
Tala,Jalisco,20.6667,-103.7,1484003075
Maravatio de Ocampo,Michoacán,19.8976,-100.45,1484174386
San Andres Cholula,Puebla,19.05,-98.3,1484648176
Patzcuaro,Michoacán,19.5164,-101.6097,1484039505
Ciudad Lerdo,Durango,25.55,-103.5167,1484980436
Juventino Rosas,Guanajuato,20.65,-101.0,1484008596
Ciudad Lazaro Cardenas,Michoacán,17.9561,-102.1922,1484804575
Sahuayo de Morelos,Michoacán,20.05,-102.7333,1484554120
Villa Victoria,México,19.4333,-100.0,1484528358
Huebampo,Sonora,26.7228,-109.4856,1484527916
Cozumel,Quintana Roo,20.5104,-86.9493,1484935305
Tecamachalco,Puebla,18.8667,-97.7167,1484013224
